carrier,airport,season,avg_delay
AA,EWR,Winter,27.466281310211947
AA,JFK,Winter,19.397402597402596
AA,LGA,Winter,19.17675050985724
DL,EWR,Winter,20.639556377079483
DL,JFK,Winter,16.57864077669903
DL,LGA,Winter,15.618627057406664
AA,EWR,Fall,22.634920634920636
AA,JFK,Fall,8.960650128314798
AA,LGA,Fall,10.840925017519272
DL,EWR,Fall,18.990875912408757
DL,JFK,Fall,6.898678414096916
DL,LGA,Fall,7.781609195402299
AA,EWR,Fall,14.572755417956657
AA,JFK,Fall,8.29296875
AA,LGA,Fall,12.511272141706923
DL,EWR,Fall,12.288395904436861
DL,JFK,Fall,8.963525835866262
DL,LGA,Fall,7.759874853343762
AA,EWR,Fall,15.914332784184515
AA,JFK,Fall,15.588669950738916
AA,LGA,Fall,9.76038338658147
DL,EWR,Fall,10.726785714285715
DL,JFK,Fall,9.635683339897598
DL,LGA,Fall,5.6645435244161355
AA,EWR,Summer,33.641479099678456
AA,JFK,Summer,23.774600504625734
AA,LGA,Summer,32.038990825688074
DL,EWR,Summer,31.818493150684933
DL,JFK,Summer,23.164367816091954
DL,LGA,Summer,23.90586690017513
AA,EWR,Summer,45.58059467918623
AA,JFK,Summer,31.62210796915167
AA,LGA,Summer,34.036308623298034
DL,EWR,Summer,45.189565217391305
DL,JFK,Summer,28.904017857142858
DL,LGA,Summer,29.500881834215168
AA,EWR,Summer,34.483552631578945
AA,JFK,Summer,34.20881057268723
AA,LGA,Summer,27.464591439688714
DL,EWR,Summer,23.286725663716815
DL,JFK,Summer,20.751644100580272
DL,LGA,Summer,19.83494252873563
AA,EWR,Spring,34.167870036101085
AA,JFK,Spring,28.001627339300246
AA,LGA,Spring,28.917709019091507
DL,EWR,Spring,12.508771929824562
DL,JFK,Spring,17.368794326241133
DL,LGA,Spring,19.407775377969763
AA,EWR,Spring,19.473197781885396
AA,JFK,Spring,16.7632241813602
AA,LGA,Spring,20.97257525083612
DL,EWR,Spring,12.673624288425048
DL,JFK,Spring,17.78937007874016
DL,LGA,Spring,11.448444444444444
AA,EWR,Spring,24.099630996309962
AA,JFK,Spring,24.57221350078493
AA,LGA,Spring,21.631511254019294
DL,EWR,Spring,10.109848484848484
DL,JFK,Spring,11.8912
DL,LGA,Spring,10.939870490286772
DL,EWR,Winter,6.700819672131147
DL,JFK,Winter,10.855013550135501
AA,EWR,Winter,13.333333333333334
AA,JFK,Winter,16.76636288318144
AA,LGA,Winter,18.458041958041957
DL,LGA,Winter,9.068627450980392
AA,EWR,Winter,21.149338374291116
AA,JFK,Winter,22.24169884169884
AA,LGA,Winter,21.20509090909091
DL,LGA,Winter,19.37594696969697
DL,EWR,Winter,18.475538160469668
DL,JFK,Winter,14.231963087248323
